data_year,offense_code,offense_id
2019,Aggravated Assault,135491393
2019,Aggravated Assault,135491562
2019,Aggravated Assault,135487057
2019,Aggravated Assault,136098489
2019,Aggravated Assault,138004607
2019,Robbery,138013963
2019,Aggravated Assault,138014010
2019,Robbery,138014135
2019,Robbery,138008143
2019,Aggravated Assault,137971150
2019,Aggravated Assault,137971364
2019,Robbery,137968704
2019,Aggravated Assault,137976863
2019,Aggravated Assault,137977353
2019,Aggravated Assault,137969322
2019,Aggravated Assault,137969330
2019,Aggravated Assault,138418537
2019,Robbery,138400974
2019,Aggravated Assault,138414922
2019,Aggravated Assault,138414933
2019,Robbery,137987024
2019,Rape,138349187
2019,Rape,138354070
2019,Aggravated Assault,138358320
2019,Robbery,138374271
2019,Robbery,138379391
2019,Aggravated Assault,138385161
2019,Aggravated Assault,138397023
2019,Robbery,138395549
2019,Aggravated Assault,143628249
2019,Aggravated Assault,138397035
2019,Robbery,146022439
2019,Aggravated Assault,146030315
2019,Aggravated Assault,146019315
2019,Rape,146019322
2019,Robbery,138395967
2019,Robbery,138395972
2019,Aggravated Assault,138396038
2019,Robbery,138390610
2019,Aggravated Assault,138390780
2019,Aggravated Assault,138397364
2019,Aggravated Assault,138402762
2019,Aggravated Assault,138406475
2019,Aggravated Assault,138397535
2019,Aggravated Assault,138403168
2019,Aggravated Assault,138406812
2019,Aggravated Assault,138403276
2019,Robbery,138398658
2019,Aggravated Assault,138405930
2019,Aggravated Assault,138406025
2019,Aggravated Assault,138406091
2019,Aggravated Assault,138398846
2019,Aggravated Assault,138411232
2019,Aggravated Assault,146019303
2019,Aggravated Assault,146019658
2019,Aggravated Assault,138377005
2019,Robbery,135996806
2019,Robbery,138368214
2019,Robbery,136001158
2019,Aggravated Assault,135993685
2019,Aggravated Assault,135629229
2019,Aggravated Assault,142705126
2019,Aggravated Assault,135634601
2019,Aggravated Assault,136040708
2019,Aggravated Assault,136040746
2019,Robbery,136042921
2019,Aggravated Assault,136040772
2019,Aggravated Assault,136040783
2019,Aggravated Assault,136040825
2019,Robbery,136032747
2019,Robbery,136043095
2019,Aggravated Assault,136043187
2019,Aggravated Assault,136046911
2019,Robbery,136047074
2019,Robbery,136033231
2019,Aggravated Assault,136047383
2019,Aggravated Assault,136043900
2019,Robbery,136033418
2019,Aggravated Assault,136043988
2019,Robbery,136047783
2019,Robbery,136047812
2019,Robbery,136048063
2019,Aggravated Assault,136048151
2019,Robbery,136044306
2019,Aggravated Assault,136033646
2019,Robbery,136048229
2019,Robbery,136048579
2019,Robbery,136048627
2019,Robbery,135966426
2019,Aggravated Assault,135966496
2019,Robbery,135492469
2019,Aggravated Assault,135463847
2019,Aggravated Assault,135466498
2019,Aggravated Assault,135696194
2019,Aggravated Assault,135460905
2019,Rape,144719488
2019,Robbery,135460962
2019,Aggravated Assault,135467050
2019,Aggravated Assault,135493378
2019,Aggravated Assault,135472264
2019,Aggravated Assault,135472285
2019,Aggravated Assault,135476750
2019,Aggravated Assault,135472319
2019,Robbery,135472359
2019,Aggravated Assault,135468757
2019,Aggravated Assault,135476995
2019,Aggravated Assault,135477006
2019,Aggravated Assault,135468894
2019,Robbery,135468911
2019,Robbery,135472525
2019,Robbery,135472556
2019,Rape,138354799
2019,Rape,138349427
2019,Rape,138349444
2019,Aggravated Assault,138355413
2019,Robbery,138349668
2019,Murder and Nonnegligent Manslaughter,138359214
2019,Aggravated Assault,138361667
2019,Rape,138349773
2019,Aggravated Assault,138359863
2019,Rape,138349921
2019,Aggravated Assault,138365381
2019,Aggravated Assault,138368033
2019,Rape,138368224
2019,Aggravated Assault,138350895
2019,Robbery,138389555
2019,Aggravated Assault,138394018
2019,Robbery,138395496
2019,Aggravated Assault,138397067
2019,Aggravated Assault,138396005
2019,Robbery,138401234
2019,Robbery,138402903
2019,Robbery,138406611
2019,Rape,138403137
2019,Aggravated Assault,138397747
2019,Robbery,138403272
2019,Aggravated Assault,138397770
2019,Robbery,138403391
2019,Aggravated Assault,138403413
2019,Robbery,138397870
2019,Robbery,138397963
2019,Robbery,138403810
2019,Aggravated Assault,138404137
2019,Aggravated Assault,138398069
2019,Aggravated Assault,138404331
2019,Aggravated Assault,138407744
2019,Aggravated Assault,140542173
2019,Robbery,140542179
2019,Aggravated Assault,137999747
2019,Aggravated Assault,140542192
2019,Aggravated Assault,138377279
2019,Robbery,138372741
2019,Aggravated Assault,138381228
2019,Aggravated Assault,146024523
2019,Aggravated Assault,138377523
2019,Rape,138377745
2019,Robbery,138377923
2019,Robbery,146035826
2019,Aggravated Assault,138381394
2019,Aggravated Assault,146039844
2019,Aggravated Assault,138382208
2019,Aggravated Assault,146035975
2019,Aggravated Assault,138378163
2019,Aggravated Assault,138378220
2019,Aggravated Assault,146040000
2019,Aggravated Assault,138383635
2019,Aggravated Assault,138376318
2019,Rape,138380628
2019,Robbery,138380703
2019,Aggravated Assault,138380724
2019,Aggravated Assault,138380788
2019,Aggravated Assault,138380793
2019,Aggravated Assault,138411293
2019,Aggravated Assault,138398959
2019,Aggravated Assault,138408997
2019,Aggravated Assault,138411369
2019,Aggravated Assault,136795421
2019,Robbery,135646263
2019,Robbery,136044732
2019,Robbery,136048828
2019,Aggravated Assault,136044986
2019,Aggravated Assault,136049363
2019,Robbery,136049387
2019,Aggravated Assault,136034032
2019,Robbery,136034093
2019,Aggravated Assault,135639009
2019,Robbery,135651855
2019,Aggravated Assault,135650917
2019,Aggravated Assault,135925878
2019,Aggravated Assault,135928649
2019,Robbery,135477274
2019,Aggravated Assault,135496620
2019,Robbery,135523886
2019,Aggravated Assault,136013495
2019,Aggravated Assault,136008490
2019,Aggravated Assault,143663610
2019,Aggravated Assault,135686631
2019,Aggravated Assault,135683811
2019,Aggravated Assault,135683923
2019,Aggravated Assault,135687380
2019,Aggravated Assault,136008850
2019,Aggravated Assault,136014486
2019,Robbery,148705309
2019,Aggravated Assault,143643111
2019,Aggravated Assault,135691375
2019,Aggravated Assault,143641131
2019,Aggravated Assault,143643232
2019,Robbery,135688607
2019,Aggravated Assault,135688615
2019,Robbery,135696469
2019,Aggravated Assault,135696546
2019,Aggravated Assault,148727947
2019,Robbery,148728002
2019,Robbery,136111394
2019,Aggravated Assault,140537521
2019,Aggravated Assault,138009975
2019,Aggravated Assault,138025411
2019,Aggravated Assault,138025436
2019,Aggravated Assault,140535978
2019,Rape,138025540
2019,Aggravated Assault,140537594
2019,Aggravated Assault,138010181
2019,Aggravated Assault,138026982
2019,Aggravated Assault,138027089
2019,Aggravated Assault,137970124
2019,Aggravated Assault,137978856
